tumor	p-value
SKCM	0.5255314149777377
CHOL	0.5703715694113988
HNSC	6.987933311818331e-09
PCPG	0.006763571248919674
BRCA	3.358844629251708e-09
UCEC	0.5941514398087209
LUAD	5.961588330367118e-10
BLCA	0.0041156171343563405
STAD	0.905289128908364
LUSC	1.9204171983999634e-25
READ	0.03436513448614861
ESCA	0.006556097735491183
THCA	2.0874302968817886e-10
KICH	0.004406949256066337
THYM	0.09962536763993324
PAAD	0.584367819891267
SARC	0.8895175581320299
CESC	0.9224050513397781
COAD	0.28052944182160466
LIHC	0.00015090939383942067
KIRP	4.637986929063064e-09
PRAD	0.5421282900665167
KIRC	6.4198733246527644e-34
